Bacteria
root
Actinomycetia
Proteobacteria
cellular organisms
Alphaproteobacteria
Mesangiospermae
Gammaproteobacteria
Firmicutes
Bacteroidetes
Euteleostomi
Chloroflexi bacterium
Eubacteriales
Acidobacteria bacterium
marine sediment metagenome
Deltaproteobacteria bacterium
Terrabacteria group
Pentapetalae
Streptomyces
Eukaryota
Archaea
Chloroflexi
Actinomycetia bacterium
Bilateria
Planctomycetes bacterium
Gammaproteobacteria bacterium
Actinobacteria
Human immunodeficiency virus 1
Amniota
Bacillales
Hyphomicrobiales
Bacteroidetes bacterium
Boreoeutheria
Deltaproteobacteria
bacterium
leotiomyceta
marine metagenome
Sepia pharaonis
Bacillaceae
Cyanobacteria
Planctomycetes
Candidatus Bathyarchaeota archaeon
Burkholderiales
Gnathostomata
rosids
Percomorphaceae
Clostridiales bacterium
Rhodobacterales
Alphaproteobacteria bacterium
Firmicutes bacterium
Betaproteobacteria
Gemmatimonadetes bacterium
Enterobacterales
Clupeocephala
Poaceae
Micrococcales
Verrucomicrobia bacterium
Proteobacteria bacterium
Paenibacillus
Tanacetum cinerariifolium
Tetrapoda
Planctomycetaceae bacterium
Neognathae
Enterobacteriaceae
Armatimonadetes bacterium
Acidobacteria
Verrucomicrobia
Flavobacteriaceae
Parcubacteria group
Agaricomycetes
Microbacteriaceae
Neoptera
Eutheria
Halobacteria
Clostridia
Lactobacillaceae
Anaerolineae bacterium
Myxococcales bacterium
viral metagenome
Burkholderiaceae
Lachnospiraceae bacterium
Strongylida
Flavobacteriales bacterium
Lachnospiraceae
Mycobacteriaceae
Pseudonocardiaceae
Bacteroidetes/Chlorobi group
Dehalococcoidia bacterium
Euryarchaeota archaeon
Clostridiaceae bacterium
Pseudomonas
Araneus ventricosus
Streptomycetaceae
Sphingomonadales
Chromadorea
Bacteroidales
Bacteroidales bacterium
Candidatus Lokiarchaeota archaeon
Rhodospirillaceae bacterium
Opisthokonta
