GO:0016021,300817
GO:0003677,54887
GO:0005524,42117
GO:0005737,36454
GO:0016787,33787
GO:0016491,27038
GO:0008168,25932
GO:0003700,23508
GO:0016740,23302
GO:0032259,21992
GO:0005634,20707
GO:0006508,20286
GO:0005886,19768
GO:0006355,19613
GO:0003824,18936
GO:0046872,18119
GO:0000160,14637
GO:0003723,12994
GO:0005975,11842
GO:0003676,11687
GO:0110165,11334
GO:0022857,10622
GO:0016020,10316
GO:0016310,10129
GO:0008270,9525
GO:0004252,7699
GO:0006468,7538
GO:0055085,7519
GO:0009058,6751
GO:0006412,6354
GO:0004519,6211
GO:0016407,5906
GO:0016301,5821
GO:0004222,5813
GO:0005576,5658
GO:0006281,5608
GO:0015074,5254
GO:0005509,5058
GO:0006364,4659
GO:0003735,4560
GO:0016757,4544
GO:0016746,4533
GO:0010468,4283
GO:0006629,4154
GO:0003924,3797
GO:0003964,3705
GO:0000287,3701
GO:0015031,3679
GO:0016705,3674
GO:0006352,3646
GO:0006807,3561
GO:0140359,3558
GO:0071586,3444
GO:0016779,3433
GO:0006313,3422
GO:0009055,3357
GO:0016987,3328
GO:0004803,3311
GO:0000155,3240
GO:0043565,3185
GO:0006260,3128
GO:0004672,3118
GO:0004553,3114
GO:0006396,3104
GO:0016829,3067
GO:0008654,3047
GO:0008233,3009
GO:0043190,3007
GO:0003755,2957
GO:0016853,2939
GO:0016810,2908
GO:0046983,2861
GO:0016788,2838
GO:0007165,2823
GO:1990904,2742
GO:0042597,2726
GO:0008081,2589
GO:0008173,2550
GO:0005840,2540
GO:0005525,2507
GO:0006470,2431
GO:0008237,2424
GO:0006633,2401
GO:0036211,2396
GO:0030170,2383
GO:0004190,2341
GO:0006457,2336
GO:0051301,2301
GO:0005739,2282
GO:0071555,2281
GO:0009236,2150
GO:0030246,2137
GO:0004722,2122
GO:0005887,2080
GO:0016874,2038
GO:0006357,2026
GO:0004930,2014
GO:0000166,1942
GO:0006096,1904
GO:0009253,1883
GO:0017004,1804
GO:0045892,1788
GO:0009307,1781
GO:0008745,1726
GO:0030288,1683
GO:0001522,1683
GO:0000105,1676
GO:0008033,1673
GO:0009279,1670
GO:0015628,1668
GO:0004674,1637
GO:0004523,1621
GO:0015627,1617
GO:0006284,1568
GO:0006310,1509
GO:0008152,1505
GO:0016780,1504
GO:0006541,1503
GO:0004077,1487
GO:0003697,1485
GO:0008146,1476
GO:0005198,1474
GO:0009116,1470
GO:0050896,1469
GO:0006351,1438
GO:0035438,1435
GO:0019843,1434
GO:0008236,1427
GO:0004852,1411
GO:0000981,1401
GO:0002949,1398
GO:0006865,1385
GO:0004725,1366
GO:0016811,1342
GO:0004527,1312
GO:0046873,1304
GO:0003743,1304
GO:0016791,1298
GO:0008234,1298
GO:0009231,1268
GO:0051213,1218
GO:0005730,1217
GO:0016192,1214
GO:0005615,1209
GO:0006511,1204
GO:0050660,1182
GO:0015937,1164
GO:0008897,1155
GO:0006465,1144
GO:0006486,1141
GO:0046677,1140
GO:0042834,1128
GO:0004386,1121
GO:0016747,1120
GO:0000272,1118
GO:0004129,1083
GO:0016627,1079
GO:0006952,1078
GO:0006886,1077
GO:0051607,1058
GO:0009103,1051
GO:0009252,1051
GO:0008641,1049
GO:0004842,1033
GO:0000428,1033
GO:0004807,1032
GO:1901135,1029
GO:0008289,1023
GO:0016887,1022
GO:0008818,1020
GO:0071973,1012
GO:0016311,1002
